domain	policy	dmarc-providers
nih.gov	quarantine	agari,dhs-nppd
state.gov	reject	self,dhs-nppd
ca.gov	DNE	
ed.gov	reject	self,dhs-nppd
nasa.gov	reject	proofpoint,self,dhs-nppd
irs.gov	reject	self,dhs-nppd
cdc.gov	reject	agari,dhs-nppd
weather.gov	reject	self,dhs-nppd
ny.gov	DNE	
noaa.gov	reject	self,dhs-nppd
uscis.gov	reject	self,dhs-nppd
medlineplus.gov	reject	agari,dhs-nppd
dhs.gov	reject	self,dhs-nppd
wa.gov	DNE	
usgs.gov	reject	self,dhs-nppd,valimail
texas.gov	DNE	
ssa.gov	reject	dhs-nppd
usajobs.gov	reject	self,dhs-nppd
usda.gov	reject	dhs-nppd,proofpoint,self
va.gov	reject	agari,dhs-nppd
nyc.gov	DNE	
loc.gov	none	proofpoint
usembassy.gov	reject	self,dhs-nppd
healthcare.gov	reject	agari,dhs-nppd
sec.gov	reject	self,dhs-nppd
fda.gov	quarantine	self,dhs-nppd,agari
uspto.gov	none	self,dhs-nppd
epa.gov	none	mxtoolbox,self,dhs-nppd
in.gov	DNE	
uscourts.gov	none	self
virginia.gov	DNE	
usa.gov	reject	self,dhs-nppd
census.gov	reject	self,agari,dhs-nppd
nps.gov	reject	self,dhs-nppd,valimail
login.gov	reject	agari,self,dhs-nppd,valimail
nist.gov	invalid	
house.gov	none	self,returnpath
michigan.gov	none	self
ohio.gov	DNE	
pa.gov	DNE	
maryland.gov	DNE	
cbp.gov	reject	self,dhs-nppd
hhs.gov	quarantine	agari,dhs-nppd
ga.gov	DNE	
bls.gov	reject	self,agari,dhs-nppd
studentloans.gov	reject	self,dhs-nppd
mo.gov	DNE	
utah.gov	DNE	
medicare.gov	reject	agari,dhs-nppd
faa.gov	reject	valimail,self,dhs-nppd
nsf.gov	reject	self,dhs-nppd
mass.gov	none	proofpoint
archives.gov	reject	dhs-nppd
ct.gov	DNE	
illinois.gov	none	self
clinicaltrials.gov	reject	agari,dhs-nppd
ftc.gov	reject	dhs-nppd,self
fbi.gov	reject	self,dhs-nppd
colorado.gov	DNE	
cia.gov	DNE	
cancer.gov	reject	agari,dhs-nppd
wi.gov	DNE	
georgia.gov	DNE	
senate.gov	reject	self
oregon.gov	none	self
justice.gov	reject	dhs-nppd,self
dot.gov	none	cisco,self,dhs-nppd
tn.gov	DNE	
drugabuse.gov	reject	agari,dhs-nppd
congress.gov	DNE	
fcc.gov	reject	dhs-nppd,self,proofpoint
opm.gov	reject	self,dhs-nppd
energy.gov	reject	dhs-nppd,self
nj.gov	DNE	
eftps.gov	reject	self,dhs-nppd
osha.gov	reject	self,dhs-nppd
cms.gov	reject	agari,dhs-nppd
kingcounty.gov	DNE	
mn.gov	DNE	
whitehouse.gov	none	self
ky.gov	DNE	
lacounty.gov	none	mxtoolbox
eia.gov	reject	dhs-nppd,self
iowa.gov	DNE	
nysed.gov	DNE	
usps.gov	reject	agari,dhs-nppd
lbl.gov	none	self,dmarcian
wisconsin.gov	DNE	
sc.gov	DNE	
dc.gov	DNE	
export.gov	reject	dhs-nppd,self
fema.gov	reject	self,dhs-nppd
gsa.gov	DNE	
nc.gov	DNE	
maricopa.gov	DNE	
arkansas.gov	DNE	
idaho.gov	DNE	
seattle.gov	DNE	
sba.gov	none	dhs-nppd,self
phila.gov	DNE	
tsp.gov	reject	self,dhs-nppd
data.gov	reject	self,dhs-nppd
nycourts.gov	none	postmarkapp
tsa.gov	reject	self,dhs-nppd
ncsbe.gov	DNE	
nrel.gov	reject	mxtoolbox,self,dhs-nppd
maine.gov	none	self
aviationweather.gov	reject	self,dhs-nppd
votetexas.gov	DNE	
pay.gov	reject	self,dhs-nppd
pr.gov	DNE	
txdmv.gov	DNE	
